total,child,id,pais
TRANSPARENCY,Overview,15,CHINA
Overview,"One of the core principles reflected throughout China’s WTO accession agreement is transparency. Unfortunately, as of March 2021, there remains a lot more work for China to do in this area.",15,CHINA
Publication of Trade-related Measures,"In its WTO accession agreement, China committed to adopt a single official journal for the publication of all trade-related laws, regulations, and other measures. China adopted a single official journal, to be administered by the MOFCOM, in 2006. Many years later, however, it appears that some, but not all, central-government entities publish trade-related measures in this journal, and these government entities tend to take a narrow view of the types of trade-related measures that need to be published in the official journal. These government entities more commonly (but still not regularly) publish trade-related administrative regulations and departmental rules in the journal, but it is less common for them to publish other measures such as opinions, circulars, orders, directives, and notices, even though they are in fact all binding legal measures. In addition, China rarely publishes certain types of trade-related measures in the journal, such as subsidy measures, and seldom publishes sub-central government trade-related measures in the journal.",15,CHINA
Notice-and-comment Procedures,"In its WTO accession agreement, China committed to provide a reasonable period for public comment before implementing new trade-related laws, regulations, and other measures. While little progress has been made in implementing this commitment at the sub-central government level, the National People’s Congress (NPC) instituted notice-and-comment procedures for draft laws in 2008, and shortly thereafter China indicated that it would also publish proposed trade- and economic-related administrative regulations and departmental rules for public comment. Subsequently, the NPC began regularly publishing draft laws for public comment. China’s State Council often (but not regularly) published draft administrative regulations for public comment. In addition, many of China’s ministries were not consistent in publishing draft departmental rules for public comment. At the May 2011 S&ED meeting, China committed to issue a measure implementing the requirement to publish all proposed trade- and economic-related administrative regulations and departmental rules on the website of the State Council’s Legislative Affairs Office (SCLAO) for a public comment period of not less than 30 days. In April 2012, the SCLAO issued two measures that appear to address this requirement. Despite continuing U.S. engagement, China still needs to improve its practices relating to the publication of administrative regulations and departmental rules for public comment. China also needs to formalize and improve its use of notice-and-comment procedures for so-called “normative documents,” which are regulatory documents that do not fall into the category of administrative regulations or departmental rules but still impose binding obligations on enterprises and individuals. However, China did commit in the Phase One Agreement to provide no less than 45 days for public comment on all proposed laws, regulations, and other measures implementing the Phase One Agreement. Since this commitment entered into force in February 2020, China has generally been providing the required 45-day public comment period and working constructively with the United States whenever it raises questions or concerns regarding provisions in proposed measures implementing the Phase One Agreement.",15,CHINA
Translations,"FOREIGN TRADE BARRIERS | 129 In its WTO accession agreement, China committed to make available translations of all of its trade-related laws, regulations, and other measures at all levels of government in one or more of the WTO languages,",15,CHINA
TRADE SUMMARY,"The U.S. goods trade surplus with Colombia was $1.3 billion in 2020, a 121.7 percent increase ($706 million) over 2019. U.S. goods exports to Colombia were $12.1 billion, down 18.2 percent ($2.7 billion) from the previous year. Corresponding U.S. imports from Colombia were $10.8 billion, down 23.9 percent. Colombia was the United States’ 23rd largest goods export market in 2020. U.S. exports of services to Colombia were an estimated $7.2 billion in 2019 and U.S. imports were $4.5 billion. Sales of services in Colombia by majority U.S.-owned affiliates were $5.4 billion in 2018 (latest data available), while sales of services in the United States by majority Colombia-owned firms were $119 million. U.S. foreign direct investment in Colombia (stock) was $8.3 billion in 2019, a 2.6 percent increase from 2018. U.S. direct investment in Colombia is led by mining, manufacturing, and finance and insurance.",16,COLOMBIA
TRADE AGREEMENTS,The United States–Colombia Trade Promotion Agreement,16,COLOMBIA
The United States–Colombia Trade Promotion Agreement,"The United States–Colombia Trade Promotion Agreement (CTPA) entered into force on May 15, 2012. The United States and Colombia work closely to review the implementation and functioning of the CTPA",16,COLOMBIA
IMPORT POLICIES,Tariffs,16,COLOMBIA
Tariffs,"The first tariff reductions under the CTPA took place upon entry into force on May 15, 2012, and subsequent tariff reductions occur on January 1 of each year. U.S. consumer and industrial products are duty free under the CTPA as of January 1, 2021. Duties on some remaining U.S. agricultural goods will be phased out 12 years from entry into force (2023). Tariffs on the most sensitive products for Colombia will be phased out 15 years to 19 years from entry into force (2026-2030). U.S. agricultural exporters also currently benefit from duty-free access under tariff-rate quotas for some sensitive products. In accordance with its CTPA",16,COLOMBIA
Non-Tariff Barriers,Truck Scrappage,16,COLOMBIA
TECHNICAL BARRIERS TO TRADE / SANITARY AND PHYTOSANITARY BARRIERS,Technical Barriers to Trade,16,COLOMBIA
Technical Barriers to Trade,Maximum Sodium Limits,16,COLOMBIA
Sanitary and Phytosanitary Barriers,Lactic Acid Limits Requirement - Milk Powder,16,COLOMBIA
GOVERNMENT PROCUREMENT,"Colombia is not a Party to the WTO Agreement on Government Procurement; however, it has been an observer to the WTO Committee on Government Procurement since February 1996. However, the CTPA",16,COLOMBIA
INTELLECTUAL PROPERTY PROTECTION,"Colombia remained on the Watch List in the Special 301 Report. Colombia has not yet implemented Internet Service Provider (ISP) liability limitations and notice and takedown procedures and has not yet acceded to the 1991 Act of the International Convention for the Protection of New Varieties of Plants. During 2020, Colombia engaged with the United States on these outstanding CTPA commitments, particularly with regard to the implementation of ISP liability limitations as well as notice and takedown procedures. The 2014-2018 NDP included a requirement to develop an IP rights enforcement policy to help guide, coordinate, and raise awareness of IP rights enforcement. While progress was made in certain areas, the United States raised concerns over provisions that could weaken innovation and intellectual property (IP) systems. In 2018, Colombia issued decrees to clarify that it will not condition regulatory approvals on factors other than safety and efficacy. This issue remains pending as of March 2021. On October 5, 2020, Colombia’s National Council for Economic and Social Policy (CONPES) released a high-level strategy document that can inform future regulations concerning intellectual property issues. The CONPES strategy document addressed areas including training for judges and officials, conducting economic impact studies, and Colombia’s accession to various international IP-related treaties. While the Colombian National Police, DIAN, and Fiscal and Customs Police have increased their enforcement efforts, including in 2020, Colombia continued to experience high levels of counterfeiting and piracy, with right holders raising specific concerns about illicit recordings in cinemas; insufficient enforcement at borders, in free trade zones, and in physical markets; online and mobile piracy; and the rampant availability of hardware used exclusively for pirating broadcasting signals.",16,COLOMBIA
SERVICES BARRIERS,Audiovisual Services,16,COLOMBIA
Audiovisual Services,"Under the CTPA, Colombia committed to reduce its domestic content requirement from 50 percent to 30 percent for free-to-air national television programming broadcast during the hours of 10:00 to 24:00 on Saturdays, Sundays, and holidays. In 2013, Colombia enacted legislation to implement this obligation. However, in 2013, Colombia’s Constitutional Court invalidated the legislation on procedural grounds. As of March 2021, Colombia has not yet reestablished this commitment in domestic law and regulation. The United States will continue to press Colombia to revise its legislation to implement its obligations under the CTPA.",16,COLOMBIA
Distribution Services,A section of Colombia’s commercial code provides protections for agents that can make it difficult and costly for companies to terminate a commercial agent (sales representative) contract. The United States has been working with Colombia to address this issue and will continue to monitor progress. FOREIGN TRADE BARRIERS | 135,16,COLOMBIA
TRADE SUMMARY,"The U.S. goods trade surplus with Costa Rica was $375 million in 2020, a 65.0 percent decrease ($697 million) over 2019. U.S. goods exports to Costa Rica were $5.7 billion, down 7.8 percent ($486 million) from the previous year. Corresponding U.S. imports from Costa Rica were $5.4 billion, up 4.1 percent. Costa Rica was the United States’ 37th largest goods export market in 2020. U.S. exports of services to Costa Rica were an estimated $2.0 billion in 2019 and U.S. imports were $3.1 billion. Sales of services in Costa Rica by majority U.S.-owned affiliates were $1.9 billion in 2018 (latest data available), while sales of services in the United States by majority Costa Rica-owned firms were $95 million. U.S. foreign direct investment in Costa Rica (stock) was $1.5 billion in 2019, a 4.8 percent decrease from 2018. U.S. direct investment in Costa Rica is led by manufacturing, professional, scientific, and technical services, and mining.",17,COSTA RICA
TRADE AGREEMENTS,Dominican Republic–Central America–United States Free Trade Agreement,17,COSTA RICA
Dominican Republic–Central America–United States Free Trade Agreement,"The Dominican Republic–Central America–United States Free Trade Agreement (CAFTA–DR) entered into force for the United States, El Salvador, Guatemala, Honduras, and Nicaragua in 2006; for the Dominican Republic in 2007; and for Costa Rica in 2009. The United States and the other CAFTA–DR",17,COSTA RICA
IMPORT POLICIES,Tariffs and Taxes,17,COSTA RICA
Tariffs and Taxes,Tariffs,17,COSTA RICA
Non-Tariff Barriers,Customs Barriers and Trade Facilitation,17,COSTA RICA
TECHNICAL BARRIERS TO TRADE / SANITARY AND PHYTOSANITARY BARRIERS,Technical Barriers to Trade,17,COSTA RICA
Technical Barriers to Trade,Telecommunications,17,COSTA RICA
Sanitary and Phytosanitary Barriers,"The Costa Rican Ministry of Agriculture occasionally delays the issuance of sanitary import permits for sensitive products, such as rice and onions, during specific periods, such as harvest time (usually in November to December for rice, and from April to June for onions). In addition, persistent issues remain regarding at-border processes and market access for fresh U.S. potatoes, both for chipping and table stock potatoes. The table stock market is currently closed pending completion of a pest risk assessment. During 2020, the United States exported $876,760 worth of chipping potatoes to Costa Rica. However, industry estimates that exports could increase to over $5 million if sanitary and phytosanitary (SPS) issues are addressed and the table stock market is reopened. The U.S. Department of Agriculture’s Animal and Plant Health Inspection Service and the Costa Rican Ministry of Agriculture conduct frequent bilateral meetings to discuss regulatory procedures for the import and export of new products, promoting market access for new U.S. products. FOREIGN TRADE BARRIERS | 139 U.S. exporters continue to complain about the high cost of quarantine fumigations at Costa Rican ports of entry. Quarantine fumigations are a remediation measure that may be needed when quarantine pests are intercepted in shipments. On November 25, 2019, the United States reached an agreement with Costa Rica to eliminate re-inspection of cargo after it is fumigated. The new protocol was field tested and given final approval on June 6, 2020 and should reduce the time and costs that exporters incur for cargo at port. The U.S. Government continues to meet with the Plant Health and Customs Department to identify ways in which the cost of fumigation may be reduced. Costa Rica has a 2016 regulation requiring extensive questionnaires for animal product facilities that export products to Costa Rica. Most U.S. exporting facilities find this process overly burdensome and have complained that the questionnaire requests irrelevant business proprietary information. Many of the exporting facilities that have completed the questionnaires have yet to be registered by the Government of Costa Rica. Although U.S. companies have complained that dairy products are the most affected by this requirement, the measure also affects seafood, lamb, and egg products.",17,COSTA RICA
GOVERNMENT PROCUREMENT,"U.S. companies have indicated that the private sector is sometimes disadvantaged in public bids when competing against Costa Rican state-owned enterprises in both the ICT and insurance sectors. Article 2 of the Public Contracting Law allows for the non-competitive awarding of contracts to public entities if officials of the awarding entity certify the award to be an efficient use of public funds. A leading business association asserts that, in 2019, the Costa Rican Government invoked Article 2 in 86 instances for a total contracted amount of $27.5 million in ICT goods and services. As part of the Organization for Economic Cooperation and Development (OECD) accession process, Costa Rica has committed to work to reduce the total value of contracts awarded under Article 2 exceptions. However, the number of contracts awarded with exceptions continues to increase. Private sector insurance companies and brokers have complained that Costa Rica preferentially contracts with the state-owned insurance company, Instituto Nacional de Seguros (INS). In 2017, however, the Social Security Administration contracted with a private insurance company. In 2019, there was a re-bid for that same contract and the private company won, based both on cost and the company’s demonstrated good service in paying claims. This may signal a trend towards more competitive insurance contracting by government entities. The United States will continue to monitor Costa Rica’s government procurement practices to ensure they are consistent with CAFTA–DR obligations. The electronic procurement platform, Sistema Integrado de Compras Públicas (SICOP), provides a single purchasing platform for all participating ministries with an entirely paperless procurement process based on a secure database, allowing enhanced levels of transparency and competition in the procurement process. All Costa Rican Government agencies are legally obligated to migrate to the system, and most have done so as of October 2020. As a digital platform, SICOP requires that suppliers use the Costa Rican digital signature; however, SICOP offers an alternative digital signature for foreign suppliers through GlobalSign and, as of March 2021, approximately 700 foreign firms had registered through that facility, many of them actively participating with bids. Costa Rica is not a Party to the World Trade Organization (WTO) Agreement on Government Procurement, but has been an observer to the WTO Committee on Government Procurement since June 2015. However, the CAFTA–DR contains disciplines on government procurement. 140 | FOREIGN TRADE BARRIERS",17,COSTA RICA
INTELLECTUAL PROPERTY PROTECTION,"Costa Rica was removed from the Watch List in the Special 301 Report due to the concrete steps it took to improve its intellectual property (IP) regime, including to address unlicensed software use in the central government and to implement an online recordation system to improve border enforcement. While the United States recognizes this progress, the effectiveness of these positive developments remains to be demonstrated through enforcement and results on the ground. The Copyright Registry is expected to issue its first report on government usage of unlicensed software in early 2021, and the United States will continue to monitor this issue. The United States also continues to urge Costa Rica to bolster IP enforcement to curb online piracy, address cumbersome border measure processes to deter counterfeit and pirated goods, and effectively utilize authority for border enforcement against counterfeit and pirated goods. The",17,COSTA RICA
SERVICES BARRIERS,Insurance Services,17,COSTA RICA
Insurance Services,"Private insurance companies continue to face challenges in light of the market power that the National Insurance Institute (INS) derives from its former monopoly position. Nevertheless, the competitive environment for those companies has gradually improved; the INS’s percentage of the insurance market decreased from 85 percent in 2014 to 72.5 percent in July 2020. The number of companies providing insurance in the market has remained steady at 13 since 2015.",17,COSTA RICA
INVESTMENT BARRIERS,"Costa Rica’s regulatory environment can pose significant barriers to investment in some sectors. One common problem, according to industry, is inconsistent action between institutions within the central government or between institutions in the central and municipal levels of government. The resulting inefficiency in regulatory decision-making is especially noticeable in infrastructure projects, which can languish for years between the award of a tender and the start of project construction. However, advances in areas such as air transport, domestic passenger transport, and the financial sector, undertaken as part of the accession process to the Organization for Economic Cooperation and Development (OECD), will provide better conditions for investment.",17,COSTA RICA
OTHER BARRIERS,Bribery and Corruption,17,COSTA RICA
Bribery and Corruption,"U.S. stakeholders have expressed concern that corruption in the Costa Rican Government, including in the judiciary, continues to constrain successful investment in Costa Rica. Administrative and judicial decision- making is widely believed to be inconsistent, nontransparent, and time-consuming. The CAFTA–DR",17,COSTA RICA
TRADE SUMMARY,"The U.S. goods trade deficit with Cote d’Ivoire was $673 million in 2020, a 4.3 percent increase ($28 million) over 2019. U.S. goods exports to Cote d’Ivoire were $208 million, down 25.3 percent ($70 million) from the previous year. Corresponding U.S. imports from Cote d’Ivoire were $881 million, down 4.6 percent. Cote d’Ivoire was the United States’ 119th largest goods export market in 2020.",17,COSTA RICA
IMPORT POLICIES,Tariffs and Taxes,17,COSTA RICA
Tariffs and Taxes,Tariffs,17,COSTA RICA
Non-Tariff Barriers,"A number of items are subject to import prohibitions, restrictions, or prior authorization, including: certain petroleum products, animal products, flour, live plants, seeds, arms and munitions, plastic bags, distilling equipment, saccharin, and analog televisions. Textile imports are subject to some authorization FOREIGN TRADE BARRIERS | 143 requirements by the External Trade Promotion Office. In January 2020 Cote d’Ivoire banned the import of sugar from all sources for five years.",17,COSTA RICA
TECHNICAL BARRIERS TO TRADE,"Transparency of the regulatory system in Cote d’Ivoire is a concern, as companies complain that regulations are issued only as final measures without a clear process or period for public comment on draft regulations. Cote d’Ivoire has not consistently notified draft technical regulations to the WTO Committee on Technical Barriers to Trade since becoming a WTO Member.",17,COSTA RICA
GOVERNMENT PROCUREMENT,"The Government publishes tender notices in the local press and sometimes publishes tenders in international magazines and newspapers. On occasion, there is a charge for the bidding documents. Cote d’Ivoire has a generally decentralized government procurement system, with most ministries undertaking their own procurements. The National Bureau of Technical and Development Studies, the Government’s technical and investment planning agency and think tank, sometimes serves as an executing agency in major projects to be financed by international institutions. The Public Procurement Department is a centralized office of public tenders in the Ministry of Finance, to help ensure compliance with international bidding practices. Cote d’Ivoire’s update to its public procurement code in 2019 introduced electronic procurement bidding, provisions on sustainable public procurement, and promotion of socially responsible vendors as a bidding qualification. While the public procurement process is open by law, in practice it is often opaque and government contracts are occasionally awarded outside of public tenders. Some foreign companies appear to secure contracts as a result of longstanding relationships with government officials or aided by partnerships with Ivoirian commercial entities that have close connections to the Government. During negotiations on a tender, the Government 144 | FOREIGN TRADE BARRIERS",17,COSTA RICA
INTELLECTUAL PROPERTY PROTECTION,"Inadequate enforcement of intellectual property (IP) rights remains a serious concern. The Ivoirian Copyright Office (BURIDA) utilizes a labeling system to prevent counterfeiting and piracy in audio, video, literary, and artistic works. BURIDA has also facilitated stakeholder engagement to promote IP, and its police unit has conducted raids to confiscate pirated CDs and DVDs. However, IP enforcement suffers in Cote d’Ivoire because of limited resources and a lack of customs checks at the country’s porous borders.",17,COSTA RICA
SERVICES BARRIERS,"Cote d’Ivoire distinguishes between providing legal advice and practicing law in court. In order to practice law in a courtroom, one must be accredited by the Ivoirian bar association. However, membership in that association requires Ivoirian nationality. Those solely providing legal advice are not subject to this restriction. Cote d’Ivoire has restrictions on the registration of foreign nationals by the chartered accountants’ association (which also requires Ivoirian nationality). The government restrictions do not apply to foreign nationals who have already been practicing in Cote d’Ivoire for several years under the license of an Ivoirian practitioner.",17,COSTA RICA
INVESTMENT BARRIERS,"Cote d’Ivoire has restrictions on and requires prior approval for foreign investment in the health sector, in law and accounting firms, and in travel agencies. In negotiating the terms of an investment, the Government will often require the use of local content. Majority foreign ownership of companies in these sectors is not permitted, though foreign companies currently operate in all these sectors in partnership with local firms and with government permission. FOREIGN TRADE BARRIERS | 145 The Ivoirian investment code provides tax incentives for investments larger than $1 million, as well as land concessions for projects. Concessionary agreements that exempt investors from tax payments require the additional approval of the Ministry of Finance and Economy and the Ministry of Commerce and Industry. The clearance procedure for planned investments, if the investor seeks tax breaks, is time consuming and confusing. Even when companies have complied fully with the requirements, the Tax Office sometimes denies tax exemptions with little explanation, giving rise to accusations of favoritism. In August 2018, the Government adopted a new investment code that prioritizes agriculture, agro-industry, health, and hospitality, and that links some incentives to productive and sustainable investments, and the promotion of local content – namely local job creation, subcontracting with local companies (especially small- and medium-sized enterprises), and the opening of share capital to local investors. However, the new code cancelled the provision of assistance to investors that suffer losses due to popular unrest.",17,COSTA RICA
OTHER BARRIERS,Bribery and Corruption,17,COSTA RICA
Bribery and Corruption,"Bribery and corruption in Cote d’Ivoire are significant concerns. Bribes are reportedly sometimes used to speed up the slow bureaucratic process or to secure a tender. The High Authority of Good Government (HAGB), established in 2013, is responsible for executing the national plan to fight corruption. However, it is solely an investigative agency. While HAGB can transmit complaints to government officials, the agency has no power to enforce anti-corruption laws and regulations. Corruption and lack of capacity in the judicial and security services have resulted in poor enforcement of private property rights, particularly when the affected company is foreign and the plaintiff is Ivoirian or a long-established foreign resident. These situations are further complicated by conflicting modern and traditional concepts of land tenure, the latter including communal ownership.",17,COSTA RICA
Export Policies,"Cote d’Ivoire provides incentives and support funds to local cashew processors to increase processing capacity and sustain the competitiveness of the sector. The Government also encourages domestic processing of other agricultural products such as cocoa, rubber, palm oil, coffee, and other raw materials by imposing a higher export tax on the unprocessed commodities than on the processed ones. 146 | FOREIGN TRADE BARRIERS",17,COSTA RICA
TRADE SUMMARY,"The U.S. goods trade surplus with Dominican Republic was $2.4 billion in 2020, a 33.6 percent decrease ($1.2 billion) over 2019. U.S. goods exports to Dominican Republic were $7.6 billion, down 17.3 percent ($1.6 billion) from the previous year. Corresponding U.S. imports from Dominican Republic were $5.2 billion, down 6.6 percent. Dominican Republic was the United States’ 32nd largest goods export market in 2020. U.S. exports of services to Dominican Republic were an estimated $2.7 billion in 2019 and U.S. imports were $5.5 billion. Sales of services in Dominican Republic by majority U.S.-owned affiliates were $1.2 billion in 2018 (latest data available). There were no sales of services in the United States by majority Dominican Republic-owned firms in 2018. U.S. foreign direct investment in Dominican Republic (stock) was $2.6 billion in 2019, a 20.4 percent increase from 2018. U.S. direct investment in Dominican Republic is led by manufacturing, information services, and wholesale trade.",18,DOMINICAN REPUBLIC
TRADE AGREEMENTS,Dominican Republic–Central America–United States Free Trade Agreement,18,DOMINICAN REPUBLIC
Dominican Republic–Central America–United States Free Trade Agreement,"The Dominican Republic–Central America–United States Free Trade Agreement (CAFTA–DR) entered into force for the United States, El Salvador, Guatemala, Honduras, and Nicaragua in 2006; for the Dominican Republic in 2007; and for Costa Rica in 2009. The United States and the other CAFTA–DR",18,DOMINICAN REPUBLIC
IMPORT POLICIES,Tariffs and Taxes,18,DOMINICAN REPUBLIC
Tariffs and Taxes,Tariffs,18,DOMINICAN REPUBLIC
Non-Tariff Barriers,Import Licensing,18,DOMINICAN REPUBLIC
TECHNICAL BARRIERS TO TRADE / SANITARY AND PHYTOSANITARY BARRIERS,Technical Barriers to Trade,18,DOMINICAN REPUBLIC
Technical Barriers to Trade,Regulation of Steel Rebar,18,DOMINICAN REPUBLIC
Sanitary and Phytosanitary Barriers,"Since March 2018, delays in the process for obtaining sanitary registrations for foods, medicines, and health products from the Dominican Government have resulted in higher operating costs and delays moving products to market, according to industry representatives. Since April 2018, the General Directorate of Medicines, Food, and Health Products, which oversees the registration process, has been requesting declarations of product additives, which is not required under Dominican health law. Improvements have been made in expediting new registrations and renewals through the implementation of a simplified procedure. However, the practice of requiring business confidential information, such as the exact product formulas, continues to make registration difficult for many products.",18,DOMINICAN REPUBLIC
GOVERNMENT PROCUREMENT,"U.S. suppliers have complained that Dominican Government procurement is not conducted in a transparent manner and that corruption is a problem. The U.S. Government has engaged with the Dominican government on this issue and transparency has increased in its procurement system over the last few years. In an MOU signed by the United States and the Dominican Republic in October 2020, the Dominican Government expressed its intent to prioritize passage of new legislation on public procurement and implement it in a manner that is timely, transparent, and consistent with international best practices. The United States will continue to monitor the Dominican Republic’s procurement practices for consistency with CAFTA–DR’s disciplines on government procurement. The Dominican Republic is neither a party to the WTO Agreement on Government Procurement nor an observer to the WTO Committee on Government Procurement. However, the CAFTA–DR contains disciplines on government procurement.",18,DOMINICAN REPUBLIC
INTELLECTUAL PROPERTY PROTECTION,"The Dominican Republic remained on the Watch List in the Special 301 Report. While the Dominican Republic made some progress in reducing its patent application backlog and prioritizing criminal prosecution for trafficking in counterfeit goods, concerns remain. Despite a strong legal framework to implement CAFTA–DR commitments, government agencies lack political will, resources, and the trained personnel to support adequate and effective intellectual property protection and enforcement. Other concerns include lack of coordination among enforcement agencies, widespread satellite signal piracy, government and private sector use of unlicensed software, and inadequate enforcement by the customs authority. The United States continues to urge the Dominican Republic to develop a mechanism to FOREIGN TRADE BARRIERS | 149 coordinate enforcement activities and to ensure that its enforcement agencies are appropriately funded and staffed. The United States will continue to work with the Dominican Republic to address these and other issues.",18,DOMINICAN REPUBLIC
OTHER BARRIERS,Bribery and Corruption,18,DOMINICAN REPUBLIC
Bribery and Corruption,"U.S. stakeholders have expressed concerns that corruption in the Dominican Government, including in the judiciary, continues to constrain successful investment in the Dominican Republic. Administrative and judicial decision-making is widely believed to be inconsistent, nontransparent, and time-consuming. The CAFTA–DR contains strong public sector anti-bribery commitments and anti-corruption measures in government contracting, and U.S. firms are guaranteed a fair and transparent process to sell goods and services to a wide range of government entities. Since taking office in August 2020, the administration of President Abinader has committed to reforms to strengthen transparency and combat corruption across the Dominican Government. The Dominican Republic is a member of the United Nations Convention against Corruption and the Inter-American Convention against Corruption. 150 | FOREIGN TRADE BARRIERS",18,DOMINICAN REPUBLIC
TRADE SUMMARY,"The U.S. goods trade deficit with Ecuador was $1.7 billion in 2020, a 19.5 percent increase ($276 million) over 2019. U.S. goods exports to Ecuador were $4.2 billion, down 23.3 percent ($1.3 billion) from the previous year. Corresponding U.S. imports from Ecuador were $5.9 billion, down 14.6 percent. Ecuador was the United States’ 43rd largest goods export market in 2020. Sales of services in Ecuador by majority U.S.-owned affiliates were $1.1 billion in 2018 (latest data available), while sales of services in the United States by majority Ecuador-owned firms were $20 million. U.S. foreign direct investment in Ecuador (stock) was $619 million in 2019, a 14.3 percent decrease from 2018. U.S. direct investment in Ecuador is led by mining, finance and insurance, and wholesale trade.",19,ECUADOR
TRADE AGREEMENTS,The United States–Ecuador Trade and Investment Council Agreement,19,ECUADOR
The United States–Ecuador Trade and Investment Council Agreement,"The United States and Ecuador signed a Trade and Investment Council Agreement (TIC) in 1990. There were several TIC meetings held throughout 2020 to resolve a number of trade irritants. This Agreement is the primary mechanism for discussions of trade and investment issues between the United States and Ecuador. On December 8, 2020, the United States and Ecuador signed a Protocol on Trade Rules and Transparency in Quito, Ecuador. The new Protocol is an update to the TIC, and is an integral part of the Agreement. The Protocol contains provisions that establish high standards for increased trade facilitation, transparency in regulatory development, anti-corruption policies, and cooperation and information sharing to benefit small and medium-sized enterprises. The Protocol establishes high-level trade rules that will improve opportunities for bilateral trade and investment in all sectors.",19,ECUADOR
IMPORT POLICIES,Tariffs and Taxes,19,ECUADOR
Tariffs and Taxes,"Since May 2017, the Government of Ecuador has sought to roll back tariff and non-tariff barriers imposed by the prior Ecuadorian Administration. To improve Ecuador’s economic competitiveness, the Ecuadorian Government has lowered tariffs on many products, particularly on intermediate goods and electronics. Tariffs Ecuador’s average Most-Favored-Nation (MFN) applied tariff rate was 12.3 percent in 2019 (latest data available). Ecuador’s average MFN applied tariff rate was 18.2 percent for agricultural products and 11.3 percent for non-agricultural products in 2019 (latest data available). Ecuador has bound 100 percent of its tariff lines in the World Trade Organization (WTO), with an average WTO bound tariff rate of 21.7 percent. When Ecuador joined the WTO in January 1996, it bound most of its tariff rates at or below 30 percent",19,ECUADOR
Non-Tariff Barriers,Import Bans and Restrictions,19,ECUADOR
TECHNICAL BARRIERS TO TRADE / SANITARY AND PHYTOSANITARY BARRIERS,Technical Barriers to Trade,19,ECUADOR
Technical Barriers to Trade,Ceramic Tiles,19,ECUADOR
Sanitary and Phytosanitary Barriers,Processed Foods–Quality Compliance and Prior Authorization Requirements,19,ECUADOR
GOVERNMENT PROCUREMENT,"Government procurement in Ecuador can be cumbersome and nontransparent. Payments can often be delayed without explanation despite provision of goods and services and proper work orders and receipts. The lack of transparency poses a risk that procuring entities will administer a procurement to the advantage FOREIGN TRADE BARRIERS | 155 of a preferred supplier. Ecuador’s Public Procurement Law establishes exceptions for procurements made according to special rules established by presidential decrees, for exploration and exploitation of hydrocarbons, for emergency situations, and for national security contracts. Article 34 of the Public Procurement Law allows public enterprises to follow special procurement rules, provided the National Public Procurement Service issues an open-ended authorization for purchases considered within “the nature of the enterprise.” In May, 2020, the Ecuadorian President issued Executive Decree 1033 reforming the Public Procurement Regulations and assigning the National Public Procurement Service (SERCOP) a leadership role in the implementation of a new Unified System for the Purchase of Medicines and Strategic Goods for the Health Sector (the “Unified System”). This decree provides for unifying and reorganizing the medical supply and distribution system nationwide. The technology-based system aims to provide full traceability, transparency, and accountability from prescription through consumption, while optimizing the distribution and storage of medicines using a privately contracted, specialized logistics operator. Although a positive step, the Ecuadorian pharmaceutical industry reports that the proposed system needs further adjustments, including to ensure qualified bidders, product traceability, and realistic timelines for implementation. The system, which was in planning stages since October 2019, will be fully operational in 2021. Ecuador also requires that preferential treatment be given to locally produced goods, especially those produced under the framework of the constitutionally established “social and solidarity economy,” as well as micro and small enterprises. Foreign bidders are required to register and submit bids for government procurement through an online system, Servicio Nacional de Contratación Pública – Ecuador – Sercop. Foreign bidders must have a local legal representative in order to participate in government procurement. To sell goods or services to Petroamazonas or Petroecuador, foreign bidders must register with each entity to become official suppliers. Ecuador is not a Party to the WTO Agreement on Government Procurement, but has been an observer to the WTO Committee on Government Procurement since June 2019.",19,ECUADOR
INTELLECTUAL PROPERTY PROTECTION,"Ecuador remained on the Watch List in the Special 301 Report. Enforcement of intellectual property (IP) rights against widespread counterfeiting and piracy remains weak. La Bahia Market in Guayaquil is on the Notorious Markets List. The 2016 Code of the Social Economy of Knowledge, Creativity, and Innovation (COESC), also known as the Ingenuity Code, contains legislation covering multiple IP matters. In 2018, the Ecuadorian National Intellectual Property Service (SENADI) published for public comment draft regulations related to the COESC. U.S. stakeholders continue to note that the COESC legislation could negatively affect IP",19,ECUADOR
SERVICES BARRIERS,Telecommunications Services,19,ECUADOR
Telecommunications Services,"Article 34 of Ecuador’s Organic Telecommunications Law requires telecommunications and subscription television service suppliers with at least a 30 percent market share to pay 0.5 percent of their gross revenue to the government and an additional 1 percent of their gross revenue for each additional 5 percent market share they hold above 30 percent. However, Ecuador’s National Telecommunications Corporation (CNT), which is owned by the government, is not included in the calculation of market share and is exempt from the fees. CNT is the dominant provider of fixed telecommunications services and is the second largest supplier of subscription television services. In addition to the fee exemption, the government of Ecuador maintains policies that favor CNT over other competitors, including exemptions from paying certain license taxes and fees.",19,ECUADOR
BARRIERS TO DIGITAL TRADE,Data Localization,19,ECUADOR
Data Localization,"The National Assembly is considering a personal data protection law, which includes a requirement to obtain authorization from the supervisory authority for the international transfer of personal data. The United States urges Ecuador to ensure that this legislative proposal does not place restrictions on the cross- border transfer of data or otherwise create barriers to trade. The law could impact businesses through high fines levied on data protection infractions. According to the current draft, minor infractions would incur a penalty of three to nine percent of revenues, while major infractions would incur a penalty of ten to 17 percent of revenues.",19,ECUADOR
